"","TOWNCODE","v39","v38","v37","v36","v35","v34","v33","v32","v31","v22","v20","v19","v18","v17","v16","v15","v14","v13","v12","v11","v10","v9","v8","v7"
"61",10008080,2,2.66666666666667,2.66666666666667,2,2,2.33333333333333,2,2.33333333333333,1.66666666666667,7.5,6.33333333333333,5.66666666666667,5.33333333333333,5.66666666666667,7,6.33333333333333,5.33333333333333,5,6.33333333333333,6.66666666666667,5,4.33333333333333,6,7
"62",10008110,1.33333333333333,1.33333333333333,1.66666666666667,1.33333333333333,1.33333333333333,1.66666666666667,1.33333333333333,1.33333333333333,1.33333333333333,5,6.33333333333333,6.66666666666667,4.33333333333333,5.33333333333333,6,7.33333333333333,5,6,7,6,5,2.33333333333333,2.33333333333333,8.33333333333333
"63",10008130,2,3,1,1,2,1,1,1,1,8,3,10,10,1,0,10,10,10,8,3,5,5,6,10
"64",10009010,2.39285714285714,3,2.96551724137931,2.31034482758621,2.21428571428571,2.53571428571429,2.37037037037037,1.86206896551724,2.14814814814815,7.17647058823529,6.32142857142857,6.32142857142857,6.28571428571429,6.32142857142857,6.85714285714286,6.03448275862069,5.96428571428571,6.32142857142857,6.60714285714286,6.60714285714286,5.64285714285714,2.85714285714286,3.68965517241379,6.06896551724138
"65",10009020,2.25,2.45454545454545,2.66666666666667,2,1.83333333333333,2.25,2.36363636363636,2.09090909090909,1.90909090909091,7,6.83333333333333,7.08333333333333,6.08333333333333,5.25,6.33333333333333,6.66666666666667,5.5,7,6.66666666666667,6.16666666666667,5.58333333333333,3,4.25,6.33333333333333
"66",10009030,2.46153846153846,3.28571428571429,3.23076923076923,2.5,1.84615384615385,2.38461538461538,2.23076923076923,1.92857142857143,2,6.9,6.42857142857143,6.57142857142857,6.38461538461539,6.64285714285714,6.85714285714286,6.5,6.57142857142857,7.28571428571429,7.64285714285714,7.42857142857143,7.57142857142857,1.71428571428571,3.14285714285714,6.92857142857143
"67",10009040,2.2,3.2,2.6,2,1.8,2.6,1.75,2.4,2.2,5.75,5.4,5.2,5,5.6,6.6,6,5.8,6.6,5.2,6.2,5.2,4.6,3.8,6.2
"68",10009050,2.66666666666667,2.75,2.5,2.25,2.5,2.5,2.25,2.25,2,7,6.75,5.33333333333333,6,5.5,7.25,5.66666666666667,6.75,6.33333333333333,6,7,6.5,3.33333333333333,3,5.33333333333333
"69",10009060,1.77777777777778,2.88888888888889,2.66666666666667,2.55555555555556,2.11111111111111,2.66666666666667,2,1.77777777777778,2.125,6.25,6,6.55555555555556,6.55555555555556,6.44444444444444,6.44444444444444,6.33333333333333,6.77777777777778,5.66666666666667,6,6,6.44444444444444,4.33333333333333,4.22222222222222,6.22222222222222
"70",10009070,2,2,1,1,2,3,2,2,2,10,8,10,10,5,8,8,10,10,10,10,10,5,0,8
"71",10009080,2,2,2,2,2,3,2,2,2,7,7,5,7,7,7,7,7,5,7,7,7,5,5,7
"72",10009090,2.25,2.33333333333333,2.5,1.66666666666667,2.33333333333333,2.75,2,1.66666666666667,1.66666666666667,8.25,8,7.5,7,5.75,7.75,7.5,7.75,7.5,8,6,7,2.5,3,7.5
"73",10009110,2.16666666666667,3.33333333333333,2.83333333333333,2,2.33333333333333,2.66666666666667,2,2.33333333333333,2.5,7.4,6.83333333333333,7.16666666666667,7,6.5,7.16666666666667,8.16666666666667,7.16666666666667,7.33333333333333,7.83333333333333,7.83333333333333,7.5,3.33333333333333,4,7.5
"74",10009120,2.5,2.5,2.5,2,1,2.5,1.5,1,1.5,2,6,6.5,6,6.5,6.5,6,4.5,5,5.5,5.5,6.5,3.5,2.5,8.5
"75",10009130,1,2.66666666666667,3.33333333333333,2.66666666666667,2.33333333333333,3,2,1,2.66666666666667,6,3.33333333333333,7.66666666666667,6.66666666666667,6.66666666666667,7.33333333333333,6,3,6.66666666666667,6.33333333333333,5,6.66666666666667,1,0.666666666666667,4
"76",10009140,2.5,3,3,3.5,2.5,3,3,1.5,2,6,6,8.5,7.5,7.5,7.5,8,7,4.5,7,7,7,1,2,7.5
"77",10009150,2,2,2,1.5,2,1.5,1,1,1,6,3,3.5,4,3,4.5,5.5,4.5,4.5,4,4.5,4.5,5,5,3
"78",10009160,3,3.5,2.5,2.5,1,3,1,3,3,5,5.5,9,9,2,8,5,3,6,6,6,5,1.5,2.5,8
"79",10009180,2,3.5,3.33333333333333,2,1.5,1.5,2.5,2,1.5,5.5,4.66666666666667,6.33333333333333,6.33333333333333,5.33333333333333,6.66666666666667,7.33333333333333,5.66666666666667,5.66666666666667,6,5.66666666666667,6,2.5,2.5,7
"80",10009190,3,4,3,3.5,2.5,3,3,2,3,8,4.5,5,5.5,6,5.5,6.5,5,6,8,6.5,7.5,3,2.5,8
"81",10009200,2,3,3,2.5,2,3,2,2,2,6.5,6,5.5,5.5,8,8,6.5,5,5,8,5.5,6,3.5,2.5,6
"82",10010010,2.14285714285714,3,3,2.85714285714286,1.71428571428571,2.71428571428571,2.85714285714286,2.28571428571429,2,7,6.85714285714286,7,7.28571428571429,5.57142857142857,7.85714285714286,7.28571428571429,5.57142857142857,7,7.71428571428571,8,7.71428571428571,1.14285714285714,2.14285714285714,6.57142857142857
"83",10010020,2,3,3,2.3,1.7,2.55555555555556,2.1,2,2,7.5,7.4,7.1,7.4,6.9,7.5,6.9,6.5,7.2,6.4,7.1,7,2,2.8,7.9
"84",10010030,2.5,2.5,2.5,2.5,2,3,2.5,2,2.5,3,4.5,5,4.5,4,5.5,6,5.5,6,6,6,6,2,5.5,7
"85",10010040,2.75,2.75,3,3,1.5,2.75,2.75,1.66666666666667,1.75,5.75,6.25,5,5.5,5,5.75,5.5,5.5,5.25,6.5,5.5,5.75,4.25,5.25,5.5
"86",10010050,2,2.58333333333333,2.91666666666667,2,1.83333333333333,2.41666666666667,1.83333333333333,1.54545454545455,1.66666666666667,5.33333333333333,6.16666666666667,5.16666666666667,4.5,5.33333333333333,6.41666666666667,6.5,5.16666666666667,6.25,4.75,5.25,5.16666666666667,3.33333333333333,4.83333333333333,5.33333333333333
"87",10010070,3,3.5,3.25,3.25,2.75,2.75,2.75,2.75,2.75,9,7.25,6.25,6.25,6.5,7.25,6,5.5,6.75,8.25,6.75,7,1.25,3,5.75
"88",10010080,2,4,4,3,2,2,2,2,2,9,9,8,9,9,8,8,8,8,8,7,7,0,4,6
"89",10010090,2.5,3.5,3.5,1.5,2,3,2.5,2,2,6,5,4,4,5.5,4,6,3.5,3.5,5,6,5.5,3.5,5.5,6
"90",10010100,1,3,3,2,2,2,2,2,2,7,6,6,7,7,6,7,7,7,6,6,6,3,3,8
"91",10010110,2,3,3,2,2.5,3,2.5,2,2,7.5,5.5,6,6.5,6.5,6,6.5,6,6,7.5,5.5,4.5,2.5,2.5,7.5
"92",10010120,2.11111111111111,2.88888888888889,3,2.44444444444444,2.33333333333333,2.77777777777778,2.125,1.75,2.125,5.66666666666667,7,6.88888888888889,6,6.33333333333333,6.55555555555556,6.88888888888889,6.11111111111111,5.88888888888889,7.66666666666667,7.22222222222222,7.55555555555556,4,4,6.33333333333333
"93",10010130,2.66666666666667,3,2.84615384615385,2.61538461538462,2.33333333333333,2.66666666666667,2.5,2.15384615384615,2.23076923076923,6.16666666666667,6.84615384615385,7.23076923076923,6.69230769230769,7.15384615384615,7.15384615384615,6.53846153846154,5.84615384615385,7.30769230769231,6.84615384615385,6.58333333333333,6.08333333333333,2.69230769230769,3.15384615384615,6.75
"94",10010140,2.33333333333333,2.66666666666667,2.66666666666667,2.33333333333333,2,3,2.66666666666667,1.66666666666667,2,3.5,7.66666666666667,4.66666666666667,2.33333333333333,5,6,6.66666666666667,3.66666666666667,6,5.66666666666667,5,3.66666666666667,1.33333333333333,4,4.66666666666667
"95",10010150,2,3.33333333333333,3.33333333333333,2.33333333333333,1.66666666666667,2.66666666666667,2.33333333333333,2.33333333333333,2,9.5,8,6.66666666666667,7,6.66666666666667,7.66666666666667,8.66666666666667,7,6.33333333333333,7,6,7.66666666666667,1.66666666666667,2,6.33333333333333
