"","a5","a6","b1","b2","b3","b4","b5","b6","b7","b8","b9","c1","c2","c3","c4","c5","c6","c7","c8","c9","marrgp","incogp","sexgp","agegp"
"c2",0.165082218615054,0.0660064123629594,0.137767873934543,0.0912870929175277,0.137274255071837,-0.0161339297022013,0.166342727260982,0.0451815427121612,0.0157199544750778,0.272584787982948,0.0183907236064513,0.412861411922385,1,0.517754098902841,0.210332192819848,0.2,0.516018573101041,0.264721023111539,0.0829264181726521,0.0766026805023603,0.197353737877136,0.136494380386115,0.0412861411922385,0.244948974278318
"c3",0.250181186740743,0.161025489330856,0.035754326529694,0.033167906340333,0.129679439590822,0.0498273473650266,0.213919899943598,0.0402194216759574,0.0756790799638581,0.234158676754881,-0.0417625988115324,0.277513876040712,0.517754098902841,1,0.439422484941241,0.109000862926914,0.65009506708807,0.48747157952681,0.257989584628174,0.311376402423267,0.0260748214914664,0.449320527043607,-0.0600030002250188,0.0556242699362481
"c4",-0.00609159737488945,-0.160318752963074,-0.130224103355414,-0.320010240491546,-0.132335477481948,0.0303999681170431,0.161892667835878,-0.041180242799074,0.0861044920773771,0.0423174771847473,-0.0709162891009582,0.426953726659974,0.210332192819848,0.439422484941241,1,0.604705054357062,0.163196220930022,0.358541290038478,0.214392422341672,0.323918529669411,0.210693907429979,0.0930517320848004,0.199003855646598,-0.0214669395370546
"c5",-0.147705142971365,-0.414897449138602,-0.157448998782335,-0.426006433615129,-0.274548510143673,-0.23394198068192,-0.0963036842037263,-0.171689862306212,-0.220079362651089,-0.101245778393666,-0.202297959670964,0.247716847153431,0.2,0.109000862926914,0.604705054357062,1,0.0448711802696558,0.0481310951111889,-0.290242463604282,0.134054690879131,0.466472471345957,-0.265114084980724,0.28900298834567,0.244948974278318
"c6",0.415855943342643,0.301114872189312,0.306146637664355,0.013653865341984,0.238173436700829,-0.104369237488083,0.456351242765541,0.293289843395988,0.279797921395859,0.287724446343443,0.14372468009584,0.308759647345899,0.516018573101041,0.65009506708807,0.163196220930022,0.0448711802696558,1,0.548923507349652,0.434117396876558,0.0830669399107062,0.0711123095312566,0.362964860257613,-0.163642613093327,0.187765472020874
"c7",-0.0223034048149538,0.291221416877413,-0.0718349519724393,-0.205041561743082,-0.0484525083326546,0.146249064444282,0.194538014266513,0.299375044834617,-0.00819670175982155,0.171806961808305,0.178508409524915,0.0728620635782456,0.264721023111539,0.48747157952681,0.358541290038478,0.0481310951111889,0.548923507349652,1,0.650255697598572,0.0245798060068742,-0.394346260417846,0.371962846280816,-0.165595599041467,-0.299653918783771
"c8",0.170520539237829,0.441152168386463,0.165928660905676,-0.0693926900429092,0.178344042393347,0.210166347280146,0.491267356464419,0.343451487924803,0.515464976255887,0.19590549433674,0.303744469893676,0.245366012995729,0.0829264181726521,0.257989584628174,0.214392422341672,-0.290242463604282,0.434117396876558,0.650255697598572,1,0.205129128553155,-0.274003812842796,0.48441286813402,-0.293868596960001,-0.351241147702745
"c9",0.290630175235766,0.0914943754567522,0.098623927594528,0.0932378135033421,0.296188721252832,0.461403511230768,0.0698590942448698,-0.122289630594748,0.355737987903215,0.236151061339028,-0.0874616791542493,0.195028793447004,0.0766026805023603,0.311376402423267,0.323918529669411,0.134054690879131,0.0830669399107062,0.0245798060068742,0.205129128553155,1,0.214169192154441,0.296164889248287,0.361066820300534,-0.277547106070338
"marrgp",-0.0400100263693194,-0.462980459706891,-0.0270713035605397,-0.23475197191215,-0.0361221164703018,-0.13411778646646,-0.0623058169097635,-0.423680553239004,-0.0230329086319447,-0.0647410573572859,-0.287608639099573,0.454311293567669,0.197353737877136,0.0260748214914664,0.210693907429979,0.466472471345957,0.0711123095312566,-0.394346260417846,-0.274003812842796,0.214169192154441,1,-0.193869639090926,0.232093813018266,0.501727167108372
"incogp",0.25877744489036,0.369331925403637,0.239792333070581,0.208068951006391,0.227608503315046,0.239841157928448,0.319124138461904,0.107764837965078,0.259201552728237,0.0329814014677508,-0.0677440389935743,-0.0545470682913979,0.136494380386115,0.449320527043607,0.0930517320848004,-0.265114084980724,0.362964860257613,0.371962846280816,0.48441286813402,0.296164889248287,-0.193869639090926,1,-0.382913194628356,-0.168242399994947
