id,city,district,土地面積,水田0101,旱作0102,果園0103,水產養殖0104,畜牧0105,農業相關設施0106,未細分_02森林使用,針葉林0201,闊葉林0202,竹林0203,混淆林0204,灌木林0205,其他森林利用土地0206,未細分_03交通使用,機場0301,一般鐵路及相關設施0302,高速鐵路及相關設施0303,捷運及相關設施0304,國道0305,省道0306,快速道路0307,一般道路0308,道路相關設施0309,港口0310,未細分_04水利使用,河道0401,堤防0402,溝渠0403,水庫0404,湖泊0405,蓄水池0406,水道沙州灘地0407,水利構造物0408,防汛道路0409,海面0410,未細分_05建築使用,商業0501,純住宅0502,混合使用住宅0503,製造業0504,倉儲0505,宗教0506,殯葬設施0507,其他建築用地0508,政府機關0601,學校0602,醫療保建0603,社會福利設施0604,公用設備0605,環保設施0606,未細分_07遊憩使用,文化設施0701,公園綠地0702,休閒設施0703,礦業及相關設施0801,土石及相關設施0802,鹽業及相關設施0803,未細分_09其他使用,溼地0901,草生地0902,裸露地0903,營建剩餘土石收容相關設施0904,空置地0905
55,臺中市,中區,88.03,0,0.03,0.01,0,0,0,0,0,0.02,0,0,0,0,0,0,0.88,0,0,0,2.37,0,25.23,5.52,0,0,0.3,0,0.25,0,0,0,0,0,0,0,0,19.42,10.86,17.42,0.01,0.78,1.49,0,1.7,0.15,1.57,0.62,0.26,0.15,0.02,0,0.25,1.06,0.84,0,0,0,0,0,0,0,0,1.55
235,南投縣,中寮鄉,14665.41,0,380.49,6141.89,0.32,12.82,44.27,0,162.39,3676.23,1576.93,923.47,4.6,0.16,0,0,0,0,0,1.71,0,0,511.26,6.39,0,0,248.35,7.47,58.75,0,0,9.76,53.4,0.43,0.41,0.29,0,8.56,167.84,2.09,2.49,7.58,34.88,44.45,3.06,1.02,15.36,0.01,1.58,30.12,1.7,0,0.3,7.41,8.74,0,0.71,0,0,0,133.3,59.4,0,34.74
43,桃園市,中壢區,7652,270.09,2272.21,77.14,250.8,23.23,38.72,0,0,154.94,6.25,0,0,0,0,0,15.59,8.19,7.54,49.6,42.75,0,673.4,189.11,0,0,76.52,3.69,34.47,0,0,88.57,1.11,0.26,0,0,0,228.51,925.21,211.13,626.04,112.25,30.01,19.49,84.26,141.86,195.65,4.68,6.11,13.6,21.9,0,2.36,97.53,33.38,0,4.44,0,0,0,28.43,0,0,537.6
15,新北市,五股區,3486.32,0,478.18,27.16,0.02,2.19,5.01,0,0,1056.12,35.81,0,0,0,0,0,0,0,0.45,39.52,0,30.77,179.17,57.33,0,0,89.43,14.35,42.48,0,0,5.33,0,3.8,23.93,0,0,81.51,113.64,50.17,266.64,92.37,15.59,354.29,9.98,24.81,11.25,0.05,2.05,3.55,6,0,1.64,201.11,5.83,0,0.53,0,0,0,7.54,0,0.99,92.05
183,新竹縣,五峰鄉,22772.8,2.94,603.4,30.04,0,0,0.43,0,3363.13,5209.5,2074.08,8351.39,23.87,42.09,0.8,0,0,0,0,0,0,0,193.7,0,0,351.65,0,0.99,0,0,0,1.29,0,0,0,0,69.12,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,35.43,0,0,0,0,0,0,0,0,390.38,253.69,0,5.89
167,宜蘭縣,五結鄉,3886.71,1235.53,363.78,19.48,173.77,4.12,15.18,0,0.46,12.68,3.93,200.03,0.15,0,0,0,9.82,0,0,12.07,34.88,0,191.84,25.57,0.49,0,165.63,31.55,80.55,0,0,8.84,188.12,7.98,14.13,79.45,0,77.88,301.78,10.42,150.64,41.54,13.57,29.19,31.53,14.35,22.74,0.27,4.38,3.18,12.7,0,1.43,21.69,53.23,0,0.58,0,0,66.77,47.66,43.51,1.95,197.75
137,高雄市,仁武區,3608.08,66.44,167.29,172.66,0.14,13.74,8.03,0,0,407.77,13.85,365.17,9.79,0,0,0,6.92,29.74,0,47.6,5.35,0,308.33,50.67,0,0,29.15,0,22.03,0,33.66,29.37,0,0.07,2.02,0,0,115.28,305.47,27.61,496.24,284.13,22.56,31.23,21.23,111.24,68.69,1.5,6.23,20.76,25.93,0,0,75.46,21.14,0,19.64,0,0,0,5.55,3.64,1.59,325.53
350,基隆市,仁愛區,423.35,0,3.33,0.26,0,0,0.3,0,0.15,84.44,0,107.46,0,0,0,0,6.98,0,0,2.63,5.36,0,25.82,7.82,1.17,0,1.92,0,0.7,0,0,0.2,0,0,0,7.6,0,9.19,62.13,22.43,0.07,1.16,6.79,63.13,2.86,2.53,9.82,0.1,0.71,1.41,0.11,0,0.34,6.57,1.06,0,0,0,0,0,0.03,0,0,6.27
240,南投縣,仁愛鄉,127353.12,56.7,3522.12,1304.4,1.29,2.16,59.03,0.01,23737.72,65695.81,2613.57,13021.19,285.36,1850.19,0.38,0.09,0,0,0,0,71.1,0,362.93,5.16,0,2548.72,275.45,1.09,10.15,0,0.78,4.53,170.56,0,0,0,262.29,50.25,36.66,0.25,0.62,2.01,6.18,6.26,3.78,1.14,5.61,0,0.47,0.34,0.11,1.02,0.27,15.39,35.31,7.87,6.2,0,161.07,0,1568.04,4231.37,0,28.84
110,臺南市,仁德區,5076.64,213.61,1136.44,239.78,183.86,25.53,10.9,0,0,354.94,2.74,5.89,0,0,0,180.58,19.2,0,0,47.73,15.76,22.85,318.19,44.76,0,0,89.62,23.61,35.04,0,0,73.32,0,1.15,11.89,0,0,68.17,275.2,25.17,604.08,109.44,21.09,22.88,37.16,92.43,60.03,6.55,2.27,9.33,31.67,0,2.13,59.95,26.95,0,3.76,0,0,0,29.55,0,0.24,497.06
