v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v41,vI1,sexgp,agegp,edugp,weight,t
63,1,2,4,4,4,10,0,0,8,10,7,10,8,9,8,9,8,10,8,3, ,1,0,0,0,1,0,1,0,2,1,2,2,2,3,3,4,3,2,0,2,3,3,.665464306,67000210
 ,2,2,1,1,2,10,0,0,3,5,5,5,0,5,4,0,4,3,3,1,10,0,0,0,0,0,0,0,0,2,1,1,1,1,2,2,3,1,1,15,1,5,1,1.417296067,10017010
84,1,6,3,1,2,8,0,0,8,7,7,8,7,7,8,7,6,8,8,1,8,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,2,1,5,2,1,2,1.322749303,65000070
58,1,2,2,3,2,8,0,0,8,10,8,8,8,8,8,8,8,5,8,1,8,0,0,0,0,0,0,0,0,2,2,3,3,2,3,3,2,3,2,15,2,4,2,.578109418,65000060
50,1,5,2,3,2,10,0,0,10,4,8,8,10,6,10,8,4,6,10,1,10,0,0,0,0,0,0,0,0,1,1,3,4,2,1,1,2,2,2,15,2,4,2,1.225726368,63000020
47,1,3,2,4,4,10,0,0,10,6,9,10,5,5,4,8,10,10,6,1,8,0,0,0,0,0,0,0,0,1,1,1,3,1,3,3,2,2,2,15,1,5,2,.809637369,10017060
49,1,6,2,6,2,8,0,0,8,8,7,8,7,8,7,6,5,6,7,1,8,0,0,0,0,0,0,0,0,1,1,1,3,2,1,2,1,3,5,15,2,5,2,.839150056,10018020
44,1,4,5,1,4,9,0,0,7,8,7,8,7,8,8,8,7,7,7,1,8,0,0,0,0,0,0,1,0,1,1,2,2,2,2,2,2,4,5,5,2,5,2,.520397705,65000100
47,1,4,5,3,4,10,0,0,9,9,8,8,8,9,7,8,6,9,8,1,9,0,0,1,0,1,1,1,0,1,1,2,2,1,2,3,3,2,2,15,2,5,2,.520397705,65000090
58,1,6,3,4,4,10,0,0,7,8,8,7,6,10,7,10,7,10,8,1,6,1,0,1,0,1,0,1,0,2,3,3,3,1,1,4,4,3,2,15,2,4,3,.542781021,10004010
51,1,6,3,2,4,6,0,0,8,6,5,5,3,6,5,6,5,7,8,1,5,0,0,1,1,0,0,0,0,3,3,3,3,2,3,3,4,2,2,5,1,4,1,1.152802002,10007030
40,1,1,2,3,2,8,0,0,8,9,9,9,8,7,9,9,9,9,9,1,7,0,1,0,0,0,0,0,0,3,2,1,2,3,4,4,4,3,2,15,2,5,1,.906260114,10007030
45,2,4,2,3,2,10,0,0,10,10,10,10,8,10,10,7,8,9,8,1,10,0,0,0,0,1,0,0,0,1,1,1,1,2,2,3,3,2,1,5,2,5,1,.906260114,10007020
30,1,6,5,3,2,8,0,0,8,5,8,10,6,5,7,10,6,10,5,1,10,0,0,0,0,0,0,0,0,2,1,1,3,3,1,3,3,1,5,5,1,6,1,1.15480795,10008040
37,1,2,3,2,4,10,0,0,0,10,10,10,8,10,10,10,10,10,10,1,10,0,0,0,0,0,0,0,0, , , ,3,2,1,1, ,3,2,15,2,6,1,1.03935349,10009020
87,1,4,6,4,4,5,0,0,5,6,5,10,5,6,5,6,6,8,8,1,7,0,0,0,0,0,0,0,0,3,3,2,4,2,1,4,4,2,1,5,1,1,2,2.036874825,66000220
59,1,6,5,2,4,10,0,0,10,8,9,10,10,10,10,10,10,10,8,1,10,0,0,0,0,0,0,1,0,3,1,2,3,2,2,4,4,2,2,15,2,4,2,.777444974,66000180
50,1,5,3,4,3,10,0,0,8,8,8,8,8,8,8,6,7,10,10,1,10,0,0,1,0,0,0,0,0,2,2,2,3,1,2,4,2,2,2,5,2,4,3,.432398321,10007070
48,1,6,3,4,4,10,0,0,10,7,8,8,8,8,8,8,8,9,8,1,8,0,0,1,0,0,0,0,0,2,2,3,3,1,3,4,2,2,2,5,2,5,3,.52616443,66000090
50,2,1,1,6,2,10,0,0,10,10,5,10,10,10,10,10,10,10,10,1,10,1,0,1,0,0,0,0,0,2,1,1,1,2,2,3,1,1,3,15,1,4,1,2.01475726, 
