"v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39","v41","vI1","sexgp","agegp","edugp","weight","t"
53,2,1,2,1,2,10,0,0,5,10,7.31,5,5,10,10,10,5,10,7.45,1,7,0,0.05,1,0.02,0,0,0,0,2,2,2,3,2,3,3,3,2,1,15,2,4,1,1.128362925,67000310
45,1,2,2,3,4,8,0,0,7,10,10,7.12,8,10,6,7,10,5,7,1,7,1,0,0,0,0,0,1,0,2,1,1,4,1,1,3,3,4,2,5,1.52,5,1,1.202562428,10013080
44.41,1,1,2,3,4,9,0,0,10,8.01,8,7.3,7,10,7.95,5,8,5,7,1,8,0,0,0,0,0,0,0,0,3,3,4,3,2,3.3,4,3.38,3,2,15,2,5,1,1.050220394,10013020
44,1,2.8,2,1,3.09,9.44,0,0,10,10,10,10,10,9.66,10,10,10,10,10,1,9.84,0,0,0,0,0,0,0,0,2,2,2,3,3,3,2,2,2,2.995,15,2,5,1,1.32645396,64000200
39,1,1,5,3,3.39,7,0,0,8,10,8,10,5,8,10,10,8.45,8.72,8.25,1,10,0,0,0,-4.09394740330526e-17,0,0,0,0,2.34,2,2.94,3.26,2.58,4,3.25,3.08,2.68,5,15,2,5.31,1,1.547539118,64000260
80,1,3.73,1,3,3.39,5,0,0.96,10,5,10,10,10,10,9.39,10,10,10,10,1,9.18,0,0,0,0,0,0,0,-5.95096888433844e-17,3,3,3.03,3,4,3,3.58,3.45,4,1,15,1,1,2,1.630052483,10020010
75,1,2,3,3,4,6,0,0,8,8,10,6,6,7,8,7,8,7,7,1,9,0,0,0,0,0,0,0,0,2.95,2.93,2.97,3.07,2.6,3,3,3.17,3,2,15,2,2,2,1.57578324057,64000140
73,1,1,3,4,1,6.72,0,0,10,10,5,4,4,5,2,2,4.37,10,10,1,5,0,0,0,0,0,0.05,0.29,-3.31505656259168e-17,2,2,2,2.31,2,2,3,2,2,2,15,2,2,2,1.648807435,67000020
68,1,3,4,2,4,10,0,0,10,8,10,10,9,9,7,10,8,7.51,5,1,7,0,0,0,-5.14865927669916e-17,0,0,0,0,3,3,3,3.09,3,3,3,3,2,2,15,2,3,2,1.155889487,64000200
64.88,1,2,5,2,4,10,0,0,10,10,10,10,5,10,10,5,10,5,5,1,10,0,0,0,0,0,0,0,0,2,2,1,3,1,2,3,3,1,2,15,2,3,2,1.155889487,64000160
65,1,2.51,1,6,2,0,0,0,3,3,0,2.65,0,3,5,2.67,0,0,0,1.73,3,0,0,0,0,0.09,0,0,0,1.74,1,1,3,1.64,2,3,2.74,1,1,15,2,2.83,2,1.155889487,64000050
63.2,1,4,5,2.98,4,8,0,0,7,7.04,7,5,5,7,8,6.53,6,8,7,1,8,0,0,0,0,0,0,0,0,2,1,2,2,2,2,2,2.43,1,2,15,2,3,2,1.155889487,64000080
50,1,6,2,3,4,8,0,0,8,7.81,10,7,5,10,5,7,0,10,5,1,10,0,0,0,0,0,0,0,0,1,1,1,1,1.62,2,3,2,4,2.17,15,2,4,2,0.622166907,10020010
46,1,2,4,2,4,8,0,0,6,7,6,8,5,7,8,8,6,9,4,1,8,0,0,0,0.00999999999999995,0,0,1,0,2,1,2,2,2,2,2.83,3,3,2.28,15,1,4.87,2,0.867659502,64000140
47.34,1,6,2,2.98,2,10,0,0,10,10,10,8,7.27,5,6,6,7,7,7,1,7.93,0,0,0,0,0.0099999999999998,0,0,0,2.13,2,2.48,3,2,3,2,3,2.39,2,15,2,5,2,0.79387145335,10013170
83,1,3,4,3,4,10,0,0,5,8,8,8,7,7.42,9,7,7,6,5,1,7,0,0,0,0,0,0,0,0,2.33,2,3,4,1,2,2,4,2,1,15,1,1,3,1.658127771,64000050
86,1,4,3,3,4,7,0,0,6,5,9,6,6.14,6.66,7,5,10,7.55,9,1,7.33,0.0499999999999998,0,0,0,0,0,0,0,2.47,2,3,4,1,2,4,3,2,1,15,2,1,3,1.44807418,64000050
69.93,1,2,4,2,4,8,0,0,8,10,8,6,8,8,6,6,7,9,8,1,9,0,0,0,0,0,0,0,0,2,2,3,3,3,3,3.08,3,2,2,15,2,2,3,1.25060356282,49322540
51,1,2,2,2.75,4,9,0,0,7,5,7,5,6,7,7,7,8,6,8,2,7.07,0,0,0,0,0,0,0,0,2,1,3,4,2.05,4,3,2,1,2,5,2,4,1,0.923207757,10002060
54,1,2,2,1,2,10,0,0,10,10,10,10,5,10,5,5,10,10,10,3,8.82,0,0.04,0,0,0,0.0199999999999999,0,0.00999999999999996,1,1,1,3,3,3,3,3,2,5,5,2,4.7,1,1.019257646,68000070
